[SYNCPILOT | CPU  4] Layer 1 memproses Frame   1 | Waktu: 0.02753 detik
[SYNCPILOT | CPU  5] Layer 1 memproses Frame   3 | Waktu: 0.03246 detik
[SYNCPILOT | CPU  6] Layer 1 memproses Frame   2 | Waktu: 0.04139 detik
[SYNCPILOT | CPU  7] Layer 1 memproses Frame   4 | Waktu: 0.04018 detik
[SYNCPILOT | CPU  4] Layer 2 memproses Frame   1 | Waktu: 0.06383 detik
[SYNCPILOT | CPU  5] Layer 2 memproses Frame   3 | Waktu: 0.06321 detik
[SYNCPILOT | CPU  6] Layer 2 memproses Frame   2 | Waktu: 0.05755 detik
[SYNCPILOT | CPU  7] Layer 2 memproses Frame   4 | Waktu: 0.04878 detik
[SYNCPILOT | CPU  4] Layer 3 memproses Frame   1 | Waktu: 0.01574 detik
[SYNCPILOT | CPU  5] Layer 3 memproses Frame   3 | Waktu: 0.01765 detik
[SYNCPILOT | CPU  6] Layer 3 memproses Frame   2 | Waktu: 0.01538 detik
[SYNCPILOT | CPU  7] Layer 3 memproses Frame   4 | Waktu: 0.01578 detik
[SYNCPILOT | CPU  4] Layer 4 memproses Frame   1 | Waktu: 0.01584 detik
[SYNCPILOT | CPU  5] Layer 4 memproses Frame   3 | Waktu: 0.01653 detik
[SYNCPILOT | CPU  6] Layer 4 memproses Frame   2 | Waktu: 0.01656 detik
[SYNCPILOT | CPU  7] Layer 4 memproses Frame   4 | Waktu: 0.01666 detik
[SYNCPILOT | CPU  4] Layer 5 memproses Frame   1 | Waktu: 0.01518 detik
[SYNCPILOT | CPU  5] Layer 5 memproses Frame   3 | Waktu: 0.01541 detik
[SYNCPILOT | CPU  6] Layer 5 memproses Frame   2 | Waktu: 0.01543 detik
[SYNCPILOT | CPU  7] Layer 5 memproses Frame   4 | Waktu: 0.01515 detik
[SYNCPILOT | CPU  4] Layer 6 memproses Frame   1 | Waktu: 0.01507 detik
[SYNCPILOT | CPU  5] Layer 6 memproses Frame   3 | Waktu: 0.01498 detik
[SYNCPILOT | CPU  6] Layer 6 memproses Frame   2 | Waktu: 0.01494 detik
[SYNCPILOT | CPU  7] Layer 6 memproses Frame   4 | Waktu: 0.01505 detik
[SYNCPILOT | CPU  4] Layer 7 memproses Frame   1 | Waktu: 0.07280 detik
[SYNCPILOT | CPU  5] Layer 7 memproses Frame   3 | Waktu: 0.07994 detik
[SYNCPILOT | CPU  6] Layer 7 memproses Frame   2 | Waktu: 0.07985 detik
[SYNCPILOT | CPU  7] Layer 7 memproses Frame   4 | Waktu: 0.07625 detik
[SYNCPILOT | CPU  4] Layer 8 memproses Frame   1 | Waktu: 0.17362 detik
[SYNCPILOT | CPU  7] Layer 8 memproses Frame   4 | Waktu: 0.16761 detik
[SYNCPILOT | CPU  4] Layer 1 memproses Frame   5 | Waktu: 0.01300 detik
[SYNCPILOT | CPU  6] Layer 8 memproses Frame   2 | Waktu: 0.17914 detik
[SYNCPILOT | CPU  7] Layer 1 memproses Frame   6 | Waktu: 0.01287 detik
[SYNCPILOT | CPU  6] Layer 1 memproses Frame   7 | Waktu: 0.01312 detik
[SYNCPILOT | CPU  5] Layer 8 memproses Frame   3 | Waktu: 0.19278 detik
[SYNCPILOT | CPU  5] Layer 1 memproses Frame   8 | Waktu: 0.01359 detik
[SYNCPILOT | CPU  4] Layer 2 memproses Frame   5 | Waktu: 0.04635 detik
[SYNCPILOT | CPU  7] Layer 2 memproses Frame   6 | Waktu: 0.04842 detik
[SYNCPILOT | CPU  4] Layer 3 memproses Frame   5 | Waktu: 0.01793 detik
[SYNCPILOT | CPU  6] Layer 2 memproses Frame   7 | Waktu: 0.05167 detik
[SYNCPILOT | CPU  7] Layer 3 memproses Frame   6 | Waktu: 0.01748 detik
[SYNCPILOT | CPU  4] Layer 4 memproses Frame   5 | Waktu: 0.01749 detik
[SYNCPILOT | CPU  5] Layer 2 memproses Frame   8 | Waktu: 0.05049 detik
[SYNCPILOT | CPU  6] Layer 3 memproses Frame   7 | Waktu: 0.01665 detik
[SYNCPILOT | CPU  7] Layer 4 memproses Frame   6 | Waktu: 0.01662 detik
