[SYNCPILOT | CPU  5] Layer 1 memproses Frame   1 | Waktu: 0.03682 detik
[SYNCPILOT | CPU  4] Layer 1 memproses Frame   3 | Waktu: 0.03704 detik
[SYNCPILOT | CPU  7] Layer 1 memproses Frame   6 | Waktu: 0.05683 detik
[SYNCPILOT | CPU  6] Layer 1 memproses Frame   7 | Waktu: 0.06073 detik
[SYNCPILOT | CPU  3] Layer 1 memproses Frame   4 | Waktu: 0.11809 detik
[SYNCPILOT | CPU  1] Layer 1 memproses Frame   5 | Waktu: 0.11768 detik
[SYNCPILOT | CPU  2] Layer 1 memproses Frame   8 | Waktu: 0.12159 detik
[SYNCPILOT | CPU  0] Layer 1 memproses Frame   2 | Waktu: 0.13637 detik
[SYNCPILOT | CPU  5] Layer 2 memproses Frame   1 | Waktu: 0.13990 detik
[SYNCPILOT | CPU  4] Layer 2 memproses Frame   3 | Waktu: 0.14055 detik
[SYNCPILOT | CPU  7] Layer 2 memproses Frame   6 | Waktu: 0.11939 detik
[SYNCPILOT | CPU  6] Layer 2 memproses Frame   7 | Waktu: 0.12435 detik
[SYNCPILOT | CPU  7] Layer 3 memproses Frame   6 | Waktu: 0.03852 detik
[SYNCPILOT | CPU  4] Layer 3 memproses Frame   3 | Waktu: 0.04448 detik
[SYNCPILOT | CPU  5] Layer 3 memproses Frame   1 | Waktu: 0.04693 detik
[SYNCPILOT | CPU  6] Layer 3 memproses Frame   7 | Waktu: 0.04096 detik
[SYNCPILOT | CPU  7] Layer 4 memproses Frame   6 | Waktu: 0.03875 detik
[SYNCPILOT | CPU  5] Layer 4 memproses Frame   1 | Waktu: 0.04407 detik
[SYNCPILOT | CPU  4] Layer 4 memproses Frame   3 | Waktu: 0.04609 detik
[SYNCPILOT | CPU  6] Layer 4 memproses Frame   7 | Waktu: 0.04136 detik
[SYNCPILOT | CPU  7] Layer 5 memproses Frame   6 | Waktu: 0.03998 detik
[SYNCPILOT | CPU  5] Layer 5 memproses Frame   1 | Waktu: 0.04284 detik
[SYNCPILOT | CPU  6] Layer 5 memproses Frame   7 | Waktu: 0.04118 detik
[SYNCPILOT | CPU  4] Layer 5 memproses Frame   3 | Waktu: 0.04402 detik
[SYNCPILOT | CPU  7] Layer 6 memproses Frame   6 | Waktu: 0.04006 detik
[SYNCPILOT | CPU  5] Layer 6 memproses Frame   1 | Waktu: 0.04213 detik
[SYNCPILOT | CPU  6] Layer 6 memproses Frame   7 | Waktu: 0.04032 detik
[SYNCPILOT | CPU  4] Layer 6 memproses Frame   3 | Waktu: 0.04226 detik
[SYNCPILOT | CPU  1] Layer 2 memproses Frame   5 | Waktu: 0.37984 detik
[SYNCPILOT | CPU  7] Layer 7 memproses Frame   6 | Waktu: 0.16836 detik
[SYNCPILOT | CPU  0] Layer 2 memproses Frame   2 | Waktu: 0.37656 detik
[SYNCPILOT | CPU  3] Layer 2 memproses Frame   4 | Waktu: 0.39516 detik
[SYNCPILOT | CPU  2] Layer 2 memproses Frame   8 | Waktu: 0.39223 detik
