env|max_freq_khz|3900000|p_cpus|15,16,17,18,19,5,6,7,8,9|e_cpus|0,1,10,11,12,13,14,2,3,4
env|p_max_khz|3900000|e_max_khz|2808000
capacity|P|15|1|10105
capacity|P|15|2|10092
capacity|P|15|3|10148
capacity|P|15|4|10159
capacity|P|15|5|10182
capacity|E|0|1|19353
capacity|E|0|2|19132
capacity|E|0|3|19210
capacity|E|0|4|19240
capacity|E|0|5|19240
cost|1W|1|0.006191,0.009193,0.003380,0.003110,0.002668,0.002661,0.010264,0.045041|11159
cost|1W|2|0.005895,0.009047,0.003334,0.003109,0.002677,0.002677,0.010106,0.044857|11189
cost|1W|3|0.005925,0.009130,0.003327,0.003114,0.002672,0.002726,0.010467,0.044912|11167
cost|1W|4|0.005934,0.009146,0.003355,0.003104,0.002673,0.002667,0.009936,0.044698|11199
cost|1W|5|0.005956,0.009018,0.003366,0.003103,0.002687,0.002671,0.009914,0.045013|11181
cost|1W|6|0.005890,0.009063,0.003339,0.003132,0.002679,0.002740,0.009984,0.044710|11204
cost|1W|7|0.006527,0.009183,0.003382,0.003141,0.002672,0.002668,0.010051,0.044982|11178
cost|1W|8|0.005894,0.009267,0.003346,0.003110,0.002669,0.002668,0.009871,0.045195|11189
cost|1W|9|0.005867,0.009193,0.003328,0.003101,0.002667,0.002664,0.009917,0.044741|11180
cost|1W|10|0.005876,0.009175,0.003327,0.003103,0.002669,0.002661,0.009905,0.044758|11202
cost|4W|1|0.006080,0.013754,0.007214,0.004514,0.003119,0.003180,0.013174,0.057345|3041
cost|4W|2|0.005979,0.016980,0.004336,0.003980,0.003246,0.003194,0.012997,0.048856|3042
cost|4W|3|0.005969,0.013900,0.007128,0.004607,0.003104,0.003250,0.013145,0.048713|3061
cost|4W|4|0.005971,0.016229,0.005401,0.004001,0.003280,0.003212,0.013354,0.057363|3048
cost|4W|5|0.006034,0.013736,0.007080,0.003780,0.003152,0.003198,0.012963,0.057044|3013
cost|4W|6|0.006060,0.014652,0.006188,0.004025,0.003241,0.003154,0.012998,0.049207|3024
cost|4W|7|0.006088,0.014175,0.007761,0.004010,0.003370,0.003296,0.013392,0.056314|3017
cost|4W|8|0.005925,0.013414,0.006997,0.003709,0.003159,0.003094,0.013159,0.048427|3077
cost|4W|9|0.006056,0.015109,0.005705,0.004075,0.003211,0.003194,0.013493,0.052925|3030
cost|4W|10|0.006112,0.013810,0.007245,0.003923,0.003163,0.003238,0.012972,0.053282|3051
cost|8W|1|0.006626,0.016411,0.009726,0.004797,0.002942,0.003528,0.010226,0.064822|1587
