scenario,run,elapsed_ms,excluded_from_avg
SER,1,10481,yes
SER,2,10163,no
SER,3,10477,no
SER,4,10162,no
SER,5,10426,no
SER,6,10178,no
SER,7,10172,no
SER,8,10441,no
LIT,1,19262,yes
LIT,2,19057,no
LIT,3,18974,no
LIT,4,19021,no
LIT,5,18944,no
LIT,6,18838,no
LIT,7,18962,no
LIT,8,19002,no
A,1,3036,yes
A,2,3044,no
A,3,3028,no
A,4,3045,no
A,5,3035,no
A,6,3014,no
A,7,3017,no
A,8,3002,no
B,1,1573,yes
B,2,1572,no
B,3,1598,no
B,4,1592,no
B,5,1575,no
B,6,1587,no
B,7,1582,no
B,8,1575,no
C,1,1350,yes
C,2,1330,no
C,3,1328,no
C,4,1344,no
C,5,1353,no
C,6,1337,no
C,7,1337,no
C,8,1352,no
D,1,1128,yes
D,2,1142,no
D,3,1122,no
D,4,1107,no
D,5,1107,no
D,6,1154,no
D,7,1119,no
D,8,1111,no
5B5L,1,2069,yes
5B5L,2,2090,no
5B5L,3,2136,no
5B5L,4,2117,no
5B5L,5,2116,no
5B5L,6,2113,no
5B5L,7,2122,no
5B5L,8,2112,no
CFS10,1,1350,yes
CFS10,2,1333,no
CFS10,3,1337,no
CFS10,4,1338,no
CFS10,5,1324,no
CFS10,6,1322,no
CFS10,7,1334,no
CFS10,8,1342,no
CFS20,1,1043,yes
CFS20,2,1015,no
CFS20,3,1024,no
CFS20,4,1044,no
CFS20,5,1027,no
CFS20,6,1052,no
CFS20,7,1065,no
CFS20,8,1047,no
NAIVE,1,6195,yes
NAIVE,2,6157,no
NAIVE,3,6173,no
NAIVE,4,6160,no
NAIVE,5,6190,no
NAIVE,6,6220,no
NAIVE,7,6187,no
NAIVE,8,6193,no
D_NOISE,1,1214,yes
D_NOISE,2,1197,no
D_NOISE,3,1218,no
D_NOISE,4,1222,no
D_NOISE,5,1248,no
D_NOISE,6,1228,no
D_NOISE,7,1192,no
D_NOISE,8,1231,no
CFS20_NOISE,1,1273,yes
CFS20_NOISE,2,1260,no
CFS20_NOISE,3,1274,no
CFS20_NOISE,4,1250,no
CFS20_NOISE,5,1265,no
CFS20_NOISE,6,1280,no
CFS20_NOISE,7,1282,no
CFS20_NOISE,8,1314,no
D_NOISE_BRUTAL,1,1383,yes
D_NOISE_BRUTAL,2,1422,no
D_NOISE_BRUTAL,3,1397,no
D_NOISE_BRUTAL,4,1426,no
D_NOISE_BRUTAL,5,1386,no
D_NOISE_BRUTAL,6,1414,no
D_NOISE_BRUTAL,7,1384,no
D_NOISE_BRUTAL,8,1396,no
CFS20_NOISE_BRUTAL,1,1760,yes
CFS20_NOISE_BRUTAL,2,1765,no
CFS20_NOISE_BRUTAL,3,1731,no
CFS20_NOISE_BRUTAL,4,1703,no
CFS20_NOISE_BRUTAL,5,1748,no
CFS20_NOISE_BRUTAL,6,1821,no
CFS20_NOISE_BRUTAL,7,1707,no
CFS20_NOISE_BRUTAL,8,1672,no
