[SYNCPILOT | CPU  5] Layer 1 memproses Frame   4 | Waktu: 0.00673 detik
[SYNCPILOT | CPU  9] Layer 1 memproses Frame   6 | Waktu: 0.00658 detik
[SYNCPILOT | CPU  8] Layer 1 memproses Frame   7 | Waktu: 0.00658 detik
[SYNCPILOT | CPU 19] Layer 1 memproses Frame  10 | Waktu: 0.00672 detik
[SYNCPILOT | CPU  6] Layer 1 memproses Frame  11 | Waktu: 0.00689 detik
[SYNCPILOT | CPU 15] Layer 1 memproses Frame  12 | Waktu: 0.00675 detik
[SYNCPILOT | CPU 18] Layer 1 memproses Frame  14 | Waktu: 0.00687 detik
[SYNCPILOT | CPU 16] Layer 1 memproses Frame  13 | Waktu: 0.00695 detik
[SYNCPILOT | CPU  7] Layer 1 memproses Frame  16 | Waktu: 0.00710 detik
[SYNCPILOT | CPU 17] Layer 1 memproses Frame  19 | Waktu: 0.00712 detik
[SYNCPILOT | CPU 13] Layer 1 memproses Frame   1 | Waktu: 0.01253 detik
[SYNCPILOT | CPU 11] Layer 1 memproses Frame   8 | Waktu: 0.01193 detik
[SYNCPILOT | CPU 14] Layer 1 memproses Frame   9 | Waktu: 0.01212 detik
[SYNCPILOT | CPU  4] Layer 1 memproses Frame   5 | Waktu: 0.01267 detik
[SYNCPILOT | CPU  2] Layer 1 memproses Frame   3 | Waktu: 0.01281 detik
[SYNCPILOT | CPU  3] Layer 1 memproses Frame   2 | Waktu: 0.01294 detik
[SYNCPILOT | CPU 12] Layer 1 memproses Frame  17 | Waktu: 0.01258 detik
[SYNCPILOT | CPU  1] Layer 1 memproses Frame  15 | Waktu: 0.01308 detik
[SYNCPILOT | CPU  0] Layer 1 memproses Frame  18 | Waktu: 0.01551 detik
[SYNCPILOT | CPU 10] Layer 1 memproses Frame  20 | Waktu: 0.01316 detik
[SYNCPILOT | CPU 15] Layer 2 memproses Frame  12 | Waktu: 0.01572 detik
[SYNCPILOT | CPU 16] Layer 2 memproses Frame  13 | Waktu: 0.01582 detik
